game_id,pid,player,pos,team,min,fgm_a,tpm_a,ftm_a,oreb,dreb,reb,ast,stl,blk,tos,pfs,plus_minus,pts
400277721,4270,Trevor Booker,PF,Washington Wizards,17,2-9,0-1,0-0,1,0,1,1,1,1,4,4,-15,4
400277721,2426,Trevor Ariza,SF,Washington Wizards,25,3-8,2-4,1-2,1,2,3,4,3,2,0,0,-9,9
400277721,2399,Emeka Okafor,C,Washington Wizards,25,4-10,0-0,2-4,5,2,7,0,0,4,1,1,-5,10
400277721,4010,A.J. Price,PG,Washington Wizards,29,2-13,2-9,1-1,1,1,2,6,0,0,1,1,-11,7
400277721,6580,Bradley Beal,SG,Washington Wizards,22,2-8,2-4,2-2,0,3,3,3,1,0,2,1,-16,8
400277721,4165,Jan Vesely,PF,Washington Wizards,21,3-4,0-0,1-4,3,1,4,1,0,1,1,3,-2,7
400277721,2477,Earl Barron,PF,Washington Wizards,16,4-6,0-0,0-1,4,4,8,0,1,1,0,2,1,8
400277721,6470,Chris Singleton,SF,Washington Wizards,17,2-7,0-1,0-0,2,2,4,2,2,0,1,2,1,4
400277721,2795,Martell Webster,SF,Washington Wizards,23,4-6,1-3,0-0,0,3,3,1,2,0,0,1,-1,9
400277721,1821,Jannero Pargo,PG,Washington Wizards,16,2-6,1-4,2-2,0,1,1,3,0,0,1,3,7,7
400277721,4243,Jordan Crawford,SG,Washington Wizards,29,4-13,0-6,3-4,1,2,3,5,1,1,1,1,0,11
400277721,3930,Cartier Martin,SF,Washington Wizards,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0
400277721,6474,Tristan Thompson,PF,Cleveland Cavaliers,32,5-8,0-0,2-4,3,7,10,5,1,0,2,2,20,12
400277721,4232,Alonzo Gee,SF,Cleveland Cavaliers,34,2-9,0-2,0-0,2,1,3,2,2,0,3,5,14,4
400277721,2419,Anderson Varejao,C,Cleveland Cavaliers,37,3-7,0-0,3-3,12,11,23,9,0,2,1,4,7,9
400277721,6442,Kyrie Irving,PG,Cleveland Cavaliers,35,11-20,3-6,4-5,0,6,6,3,0,1,4,4,23,29
400277721,6628,Dion Waiters,SG,Cleveland Cavaliers,28,6-14,2-5,3-4,0,2,2,0,3,0,3,0,13,17
400277721,2027,Luke Walton,SF,Cleveland Cavaliers,12,1-2,0-1,0-0,0,1,1,0,0,0,2,0,-11,2
400277721,6631,Tyler Zeller,C,Cleveland Cavaliers,15,2-4,0-0,1-2,0,2,2,0,1,1,0,2,4,5
400277721,4303,Donald Sloan,PG,Cleveland Cavaliers,13,2-5,0-1,0-0,0,0,0,1,0,0,2,2,-13,4
400277721,2778,C.J. Miles,SG,Cleveland Cavaliers,18,1-5,0-1,0-0,0,4,4,1,0,0,3,0,2,2
400277721,3006,Daniel Gibson,SG,Cleveland Cavaliers,16,3-5,2-4,2-4,1,2,3,1,0,1,0,2,-9,10
400277721,6452,Jon Leuer,PF,Cleveland Cavaliers,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0
400277721,4304,Samardo Samuels,PF,Cleveland Cavaliers,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0
400277721,3554,Omri Casspi,SF,Cleveland Cavaliers,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0
400277722,261,Kevin Garnett,PF,Boston Celtics,32,4-8,0-0,1-1,1,11,12,2,0,2,5,4,-4,9
400277722,2745,Brandon Bass,PF,Boston Celtics,28,6-11,0-0,3-4,6,5,11,1,0,0,1,2,-8,15
400277722,662,Paul Pierce,SF,Boston Celtics,41,6-15,2-4,9-9,0,5,5,5,2,0,0,3,-17,23
400277722,3026,Rajon Rondo,PG,Boston Celtics,44,9-14,0-2,2-4,0,7,7,13,0,0,4,4,-13,20
400277722,3445,Courtney Lee,SG,Boston Celtics,24,5-6,1-1,0-0,0,1,1,1,0,0,1,5,-7,11
400277722,6624,Jared Sullinger,PF,Boston Celtics,8,1-2,0-0,0-0,0,1,1,0,0,0,0,1,-3,2
400277722,3209,Jeff Green,SG,Boston Celtics,23,0-4,0-0,3-4,0,3,3,0,1,0,1,0,-7,3
400277722,841,Jason Terry,SG,Boston Celtics,25,2-7,0-3,4-4,0,0,0,1,1,0,3,3,-10,8
